序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的年龄：,3、您的职业：,4、您的月收入（人民币）:,5、您每天使用社交媒体的时长大约是多少？,6、您是否了解始祖鸟（Arc'teryx）品牌？,7、您通过以下哪些渠道接触过始祖鸟品牌?,8、始祖鸟的社交媒体内容对您的吸引力如何?,9、您是否曾与始祖鸟的社交媒体账号互动?,10、您更倾向于哪种互动方式？（可多选）,11、您认为始祖鸟社交媒体互动的体验如何？,12、您对始祖鸟品牌的印象如何？（可多选）,13、始祖鸟社交媒体是否增加了您对品牌的了解？,14、您是否因社交媒体内容购买过始祖鸟产品？,15、您最常通过以下哪种途径购买？（可多选）,16、阻碍您购买的原因是什么？（可多选）,17、您对始祖鸟社交媒体的整体满意度如何？,18、您认为始祖鸟社交媒体内容有哪些需要改进的地方？（可多选）,您对始祖鸟社交媒体营销有哪些建议或想法？请简要描述。
262,2025/4/2 12:29:27,131秒,微信,N/A,112.99.102.17(黑龙江-七台河),女,18岁以下,学生,3000元以下,1-3小时,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,专业性强┋环保可持续┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),非常满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
263,2025/4/2 12:31:03,159秒,微信,N/A,120.245.29.143(北京-北京),女,26-35岁,企业职员,3000-8000元,少于1小时,非常了解,微信公众号┋小红书┋抖音/快手┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,(跳过),价格过高┋产品信息不够清楚,非常满意,与用户互动性┋信息实用性,(跳过)
264,2025/4/2 12:32:11,147秒,微信,N/A,114.219.59.225(江苏-苏州),男,26-35岁,企业职员,3000-8000元,少于1小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,(跳过),品牌吸引力不足┋购买流程不便捷,非常满意,与用户互动性┋信息实用性,(跳过)
265,2025/4/2 12:34:04,123秒,微信,N/A,117.95.195.22(江苏-宿迁),男,36-45岁,企业职员,3000-8000元,5小时以上,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),比较吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,专业性强┋环保可持续┋广告／宣传设计时尚,很多,是,(跳过),价格过高┋品牌吸引力不足,比较满意,与用户互动性┋信息实用性,(跳过)
266,2025/4/2 12:35:18,184秒,微信,N/A,39.154.68.82(内蒙古-乌海),女,46岁及以上,自由职业者,8000-15000元,1-3小时,不太了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),不太吸引,偶尔互动,评论┋分享到个人社交圈┋参与话题活动┋观看直播,非常差,高端户外品牌┋价格较高┋产品设计时尚,一般,否,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),不太满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
267,2025/4/2 12:36:47,104秒,微信,N/A,36.163.159.178(北京-北京),女,26-35岁,政府机关工作人员,3000-8000元,1-3小时,不太了解,微信公众号┋小红书┋品牌宫网┋线下店铺,完全不吸引,从未互动,点赞┋评论┋参与话题活动┋观看直播,一般,专业性强┋环保可持续┋广告／宣传设计时尚,较少,否,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),不太满意,与用户互动性┋信息实用性,(跳过)
268,2025/4/2 12:38:48,134秒,微信,N/A,123.168.144.100(山东-济宁),女,46岁及以上,政府机关工作人员,3000-8000元,3-5小时,完全不了解,微博┋抖音/快手┋朋友推荐┋线下店铺,不太吸引,很少互动,评论┋分享到个人社交圈┋参与话题活动┋观看直播,一般,高端户外品牌┋价格较高┋产品设计时尚,较少,否,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),不太满意,与用户互动性┋信息实用性,(跳过)
269,2025/4/2 12:40:08,120秒,微信,N/A,120.224.144.216(山东-淄博),女,18-25岁,政府机关工作人员,3000-8000元,3-5小时,不太了解,微博┋小红书┋品牌宫网┋线下店铺,一般,从未互动,评论┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,较少,否,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),不太满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
270,2025/4/2 12:41:24,178秒,微信,N/A,61.142.70.105(广东-中山),男,26-35岁,自由职业者,3000-8000元,1-3小时,略有了解,微信公众号┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,很多,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),比较满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
271,2025/4/2 12:42:28,158秒,微信,N/A,113.64.126.219(广东-梅州),女,18岁以下,学生,3000元以下,3-5小时,非常了解,微信公众号┋小红书┋抖音/快手┋线下店铺,比较吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一些,是,(跳过),不需要相关产品┋购买流程不便捷,比较满意,与用户互动性┋信息实用性,(跳过)
272,2025/4/2 12:43:14,174秒,微信,N/A,111.41.35.10(黑龙江-大庆),女,18岁以下,学生,3000元以下,3-5小时,略有了解,微博┋小红书┋品牌宫网┋线下店铺,比较吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,官方电商平台┋线下专卖店,(跳过),一般,与用户互动性┋信息实用性,(跳过)
273,2025/4/2 12:45:12,147秒,微信,N/A,39.190.183.79(浙江-嘉兴),女,26-35岁,企业职员,3000-8000元,5小时以上,不太了解,微信公众号┋小红书┋抖音/快手┋线下店铺,比较吸引,很少互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,较差,专业性强┋环保可持续┋产品设计时尚,较少,否,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),不太满意,与用户互动性┋信息实用性,(跳过)
274,2025/4/2 12:46:39,112秒,微信,N/A,120.36.88.191(福建-福州),女,26-35岁,企业职员,3000-8000元,5小时以上,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,很多,是,(跳过),价格过高┋品牌吸引力不足,比较满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
275,2025/4/2 12:47:44,176秒,微信,N/A,125.89.57.55(广东-珠海),女,36-45岁,企业职员,3000-8000元,3-5小时,非常了解,微博┋抖音/快手┋朋友推荐┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,(跳过),价格过高┋产品信息不够清楚,非常满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
276,2025/4/2 12:48:56,148秒,微信,N/A,36.159.185.138(安徽-亳州),女,18岁以下,学生,3000元以下,3-5小时,非常了解,微信公众号┋小红书┋抖音/快手┋线下店铺,比较吸引,偶尔互动,点赞┋评论┋参与话题活动┋私信交流,非常好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一些,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),比较满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
277,2025/4/2 12:51:02,176秒,微信,N/A,112.42.35.13(辽宁-大连),女,26-35岁,企业职员,3000-8000元,3-5小时,完全不了解,小红书┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),比较吸引,偶尔互动,评论┋分享到个人社交圈┋参与话题活动┋观看直播,较差,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,较少,否,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),非常不满意,与用户互动性┋信息实用性,(跳过)
278,2025/4/2 12:52:56,151秒,微信,N/A,106.114.235.56(河北-石家庄),男,18-25岁,其他,3000-8000元,3-5小时,略有了解,微信公众号┋小红书┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),比较吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,(跳过),价格过高┋产品信息不够清楚,比较满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
279,2025/4/2 12:54:02,163秒,微信,N/A,36.163.167.222(北京-北京),男,18-25岁,企业职员,3000-8000元,3-5小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,一般,是,(跳过),价格过高┋产品信息不够清楚,非常满意,与用户互动性┋信息实用性,(跳过)
280,2025/4/2 12:55:20,140秒,微信,N/A,120.225.222.90(山东-青岛),男,36-45岁,政府机关工作人员,3000-8000元,1-3小时,非常了解,微信公众号┋小红书┋抖音/快手┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,比较好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,(跳过),不需要相关产品┋购买流程不便捷,非常满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
281,2025/4/2 12:57:00,90秒,微信,N/A,117.183.221.93(广西-桂林),男,46岁及以上,企业职员,3000-8000元,1-3小时,不太了解,微博┋小红书┋品牌宫网┋线下店铺,不太吸引,偶尔互动,点赞┋评论┋参与话题活动┋私信交流,非常差,专业性强┋环保可持续┋产品设计时尚,较少,否,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),一般,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
282,2025/4/2 12:59:01,118秒,微信,N/A,36.163.172.226(北京-北京),男,18-25岁,企业职员,3000-8000元,3-5小时,非常了解,微信公众号┋小红书┋抖音/快手┋线下店铺,非常吸引,偶尔互动,点赞┋评论┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,很多,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),一般,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
283,2025/4/2 13:01:00,166秒,微信,N/A,1.59.188.209(黑龙江-佳木斯),男,18-25岁,企业职员,3000-8000元,3-5小时,略有了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,一般,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
284,2025/4/2 13:02:16,132秒,微信,N/A,125.47.127.47(河南-郑州),女,18-25岁,自由职业者,3000-8000元,1-3小时,完全不了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),不太吸引,很少互动,点赞┋评论┋参与话题活动┋私信交流,一般,高端户外品牌┋价格较高┋产品设计时尚,完全没有,否,(跳过),不需要相关产品┋购买流程不便捷,不太满意,与用户互动性┋信息实用性,(跳过)
285,2025/4/2 13:04:16,148秒,微信,N/A,120.242.58.77(安徽-滁州),男,18-25岁,企业职员,8000-15000元,5小时以上,略有了解,微信公众号┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,专业性强┋环保可持续┋广告／宣传设计时尚,很多,是,(跳过),价格过高┋产品信息不够清楚,比较满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
286,2025/4/2 13:06:13,107秒,微信,N/A,113.3.3.246(黑龙江-黑河),女,36-45岁,企业职员,3000-8000元,3-5小时,略有了解,微博┋小红书┋品牌宫网┋线下店铺,一般,偶尔互动,点赞┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,很多,是,第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),比较满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
287,2025/4/2 13:08:27,175秒,微信,N/A,112.50.78.177(福建-漳州),男,36-45岁,政府机关工作人员,3000-8000元,1-3小时,略有了解,微信公众号┋小红书┋品牌宫网┋线下店铺,非常吸引,偶尔互动,点赞┋评论┋参与话题活动┋私信交流,比较好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一些,是,第三方电商平台（如天猫、京东）,(跳过),非常满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
288,2025/4/2 13:10:35,157秒,微信,N/A,121.227.69.195(江苏-苏州),女,18-25岁,自由职业者,3000-8000元,3-5小时,略有了解,微博┋小红书┋朋友推荐┋线下店铺,非常吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）,(跳过),比较满意,与用户互动性┋信息实用性,(跳过)
289,2025/4/2 13:11:22,141秒,微信,N/A,121.236.27.223(江苏-苏州),男,18岁以下,学生,3000元以下,少于1小时,非常了解,微博┋抖音/快手┋朋友推荐┋线下店铺,比较吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,比较好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一些,是,(跳过),品牌吸引力不足┋购买流程不便捷,一般,内容丰富度┋与用户互动性┋发布频率,(跳过)
290,2025/4/2 13:13:03,143秒,微信,N/A,60.163.48.111(浙江-嘉兴),女,36-45岁,政府机关工作人员,3000-8000元,1-3小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),比较吸引,偶尔互动,点赞┋评论┋参与话题活动┋观看直播,一般,专业性强┋环保可持续┋产品设计时尚,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),一般,与用户互动性┋信息实用性,(跳过)
291,2025/4/2 13:14:08,131秒,微信,N/A,153.101.140.164(江苏-镇江),男,26-35岁,其他,15000元以上,1-3小时,非常了解,微信公众号┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,很多,是,官方电商平台┋线下专卖店,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
292,2025/4/2 13:16:20,146秒,微信,N/A,116.209.53.235(湖北-仙桃),女,36-45岁,政府机关工作人员,3000-8000元,3-5小时,略有了解,微博┋小红书┋品牌宫网┋线下店铺,比较吸引,偶尔互动,点赞┋评论┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,官方电商平台┋线下专卖店,(跳过),比较满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
293,2025/4/2 13:18:14,136秒,微信,N/A,121.239.69.185(江苏-苏州),男,26-35岁,自由职业者,3000-8000元,5小时以上,非常了解,微信公众号┋小红书┋抖音/快手┋线下店铺,比较吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,一般,专业性强┋环保可持续┋广告／宣传设计时尚,一些,是,(跳过),价格过高┋品牌吸引力不足,一般,与用户互动性┋信息实用性,(跳过)
294,2025/4/2 13:19:07,148秒,微信,N/A,36.163.178.117(北京-北京),男,18岁以下,学生,3000元以下,3-5小时,略有了解,微信公众号┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,比较好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
295,2025/4/2 13:20:47,97秒,微信,N/A,27.39.157.83(广东-佛山),女,46岁及以上,政府机关工作人员,3000-8000元,1-3小时,略有了解,微博┋抖音/快手┋朋友推荐┋线下店铺,一般,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋观看直播,非常好,专业性强┋环保可持续┋产品设计时尚,一般,是,(跳过),品牌吸引力不足,比较满意,与用户互动性┋信息实用性,(跳过)
296,2025/4/2 13:21:49,119秒,微信,N/A,111.9.205.69(四川-内江),男,18岁以下,学生,3000元以下,3-5小时,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋参与话题活动┋观看直播,非常好,专业性强┋环保可持续┋广告／宣传设计时尚,一般,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),比较满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
297,2025/4/2 13:22:33,169秒,微信,N/A,111.34.5.153(山东-德州),女,36-45岁,企业职员,3000-8000元,3-5小时,非常了解,微博┋抖音/快手┋朋友推荐┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,一般,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),比较满意,与用户互动性┋信息实用性,(跳过)
298,2025/4/2 13:24:52,106秒,微信,N/A,171.8.222.185(河南-郑州),女,18-25岁,企业职员,3000-8000元,3-5小时,略有了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,偶尔互动,点赞┋评论┋参与话题活动┋私信交流,非常好,高端户外品牌┋专业性强┋环保可持续┋广告／宣传设计时尚,很多,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),非常满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
299,2025/4/2 13:25:48,98秒,微信,N/A,111.162.185.153(天津-天津),女,18岁以下,学生,3000元以下,3-5小时,非常了解,微信公众号┋小红书┋抖音/快手┋线下店铺,比较吸引,偶尔互动,点赞┋评论┋参与话题活动┋私信交流,比较好,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,很多,是,第三方电商平台（如天猫、京东）,(跳过),非常满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
300,2025/4/2 13:26:29,158秒,微信,N/A,111.19.28.97(陕西-西安),男,18岁以下,学生,3000元以下,少于1小时,完全不了解,微博┋抖音/快手┋朋友推荐┋线下店铺,一般,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常差,专业性强┋环保可持续┋广告／宣传设计时尚,完全没有,否,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),不太满意,与用户互动性┋信息实用性,(跳过)
301,2025/4/2 13:28:20,114秒,微信,N/A,110.252.109.40(河北-沧州),男,26-35岁,企业职员,3000-8000元,3-5小时,非常了解,微信公众号┋小红书┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,很多,是,第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),比较满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
302,2025/4/2 13:29:33,173秒,微信,N/A,111.19.48.44(陕西-咸阳),女,46岁及以上,企业职员,3000-8000元,5小时以上,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),比较吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一些,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),非常满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
303,2025/4/2 13:30:30,116秒,微信,N/A,125.77.90.151(福建-福州),女,18-25岁,其他,3000-8000元,3-5小时,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,比较好,专业性强┋环保可持续┋广告／宣传设计时尚,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
304,2025/4/2 13:31:04,114秒,微信,N/A,27.225.164.61(甘肃-酒泉),男,26-35岁,企业职员,3000-8000元,1-3小时,略有了解,微信公众号┋小红书┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋参与话题活动┋观看直播,一般,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,很多,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),非常满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
305,2025/4/2 13:32:55,150秒,微信,N/A,140.250.239.153(山东-济宁),女,26-35岁,自由职业者,8000-15000元,1-3小时,非常了解,微信公众号┋小红书┋抖音/快手┋线下店铺┋社交媒体广告(如朋友圈广告),比较吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,专业性强┋环保可持续┋广告／宣传设计时尚,很多,是,官方电商平台┋线下专卖店,(跳过),比较满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
306,2025/4/2 13:34:11,137秒,微信,N/A,114.101.55.159(安徽-蚌埠),男,46岁及以上,自由职业者,3000-8000元,3-5小时,非常了解,微信公众号┋小红书┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,一般,高端户外品牌┋专业性强┋环保可持续┋广告／宣传设计时尚,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),比较满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
307,2025/4/2 13:34:50,137秒,微信,N/A,60.180.63.251(浙江-温州),女,26-35岁,企业职员,3000-8000元,1-3小时,不太了解,小红书┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),不太吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,较差,专业性强┋环保可持续┋广告／宣传设计时尚,一般,否,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),一般,内容丰富度┋创意和设计感┋发布频率,(跳过)
308,2025/4/2 13:36:43,168秒,微信,N/A,219.156.80.37(河南-郑州),男,18-25岁,企业职员,3000-8000元,5小时以上,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,比较好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,(跳过),价格过高┋产品信息不够清楚,比较满意,与用户互动性┋信息实用性,(跳过)
309,2025/4/2 13:38:11,92秒,微信,N/A,60.6.105.17(河北-邢台),男,46岁及以上,企业职员,15000元以上,1-3小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,(跳过),价格过高┋产品信息不够清楚,非常满意,与用户互动性┋信息实用性,(跳过)
310,2025/4/2 13:39:29,95秒,微信,N/A,117.173.169.108(四川-泸州),男,46岁及以上,企业职员,3000-8000元,1-3小时,略有了解,微博┋抖音/快手┋朋友推荐┋线下店铺,不太吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常差,专业性强┋环保可持续┋产品设计时尚,一般,否,官方电商平台┋线下专卖店,(跳过),一般,与用户互动性┋信息实用性,(跳过)
311,2025/4/2 13:41:24,133秒,微信,N/A,183.209.181.183(江苏-徐州),男,46岁及以上,自由职业者,3000-8000元,少于1小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),比较吸引,偶尔互动,点赞┋评论┋参与话题活动┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,(跳过),不需要相关产品┋购买流程不便捷,比较满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
312,2025/4/2 13:43:18,128秒,微信,N/A,183.209.70.225(江苏-南通),女,36-45岁,自由职业者,3000-8000元,5小时以上,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋参与话题活动┋观看直播,一般,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,一些,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),非常满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
313,2025/4/2 13:45:12,170秒,微信,N/A,222.141.89.160(河南-鹤壁),男,18-25岁,自由职业者,3000-8000元,1-3小时,非常了解,微信公众号┋小红书┋品牌宫网┋线下店铺,非常吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,专业性强┋环保可持续┋广告／宣传设计时尚,一些,是,(跳过),价格过高┋产品信息不够清楚,非常满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
314,2025/4/2 13:46:22,151秒,微信,N/A,58.46.30.232(湖南-娄底),男,36-45岁,企业职员,3000-8000元,1-3小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),比较吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋参与话题活动┋观看直播,一般,高端户外品牌┋价格较高┋产品设计时尚,很多,是,(跳过),价格过高┋产品信息不够清楚,比较满意,与用户互动性┋信息实用性,(跳过)
315,2025/4/2 13:48:07,170秒,微信,N/A,120.229.149.48(广东-东莞),男,36-45岁,政府机关工作人员,3000-8000元,3-5小时,不太了解,微博┋抖音/快手┋朋友推荐┋线下店铺,一般,很少互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,一般,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,完全没有,否,(跳过),价格过高┋产品信息不够清楚,非常不满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
316,2025/4/2 13:49:42,110秒,微信,N/A,175.21.83.217(吉林-长春),男,26-35岁,自由职业者,15000元以上,3-5小时,完全不了解,微博┋小红书┋品牌宫网┋线下店铺,一般,很少互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,较差,专业性强┋环保可持续┋广告／宣传设计时尚,完全没有,否,(跳过),不需要相关产品┋购买流程不便捷,非常不满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
317,2025/4/2 13:51:10,107秒,微信,N/A,39.163.213.175(河南-许昌),女,46岁及以上,自由职业者,3000-8000元,3-5小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,专业性强┋环保可持续┋广告／宣传设计时尚,很多,是,第三方电商平台（如天猫、京东）,(跳过),非常满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
